Product Name,Category Name,Reference Part Number,Description,SKU,Stok per tgl 18 May 2025,Lokasi Stok,,Notes
First Product,Category Name,"ABC11,EFG22,HIJ33",Product Description,ABC,,,,pastikan masing2 nama produk unik (tidak ada persamaan dengan data lainnya)
AIR FILTER,,,-,-,,,,pastikan kategori barang ada di database
3003008,Oil Separator,1612-2433-00 = DC 3008 = 2901-0078-00,-,-,2,"1pcs Jakarta, 1pcs Solo",,
3003009,Oil Separator,1616-2836-00 = DC 3009,-,-,18,"17pcs Jakarta, 1pcs Surabaya",,
3003022,Oil Separator,2252-6313-00 = DC 3022 = 2906-0020-00,-,-,8,"6pcs Jakarta, 2pcs Surabaya",,
3003032,Oil Separator,1202-6414-00 = DC 3032 = 2901-0061-00,-,-,4,"2pcs Jakarta, 2pcs Surabaya",,
3003051,Oil Separator,1614-6423-00 = DC 3051 = 2906-0098-00 ,-,-,15,"12pcs Jakarta, 3pcs Surabaya",,
3003065,Oil Separator,1613-6880-00 = DC 3065),-,-,5,"3pcs Jakarta, 1pcs Surabaya, 1pcs Solo",,
3003066,Oil Separator,2901-0004-01 = DC 3066 = 1613-6921-00,-,-,3,Jakarta,,
3003075,Oil Separator,N 27850000 = DC 3075,-,-,9,Jakarta,,
3003077,Oil Separator,1613-7502-00 = DC 3077 = 2901-0343-00,-,-,6,"1pcs Jakarta, 4pcs Surabaya, 1pcs Solo",,
3003085,Oil Separator,1202-7419-00 = DC 3085 = 2901-0070-00 = 1613-7306-00,-,-,15,"11pcs Jakarta, 3pcs Surabaya, 1pcs Solo",,
3003099,Oil Separator,1614-7048-00 = DC 3099,-,-,3,"2pcs Jakarta, 1pcs Solo",,
3003108,Oil Separator,6.3569.0  = DC 3108,-,-,11,"7pcs Jakarta, 3pcs Surabaya",,
3003110,Oil Separator,2901-0432-00 = DC 3110 = 1613-8007-00,-,-,8,"6pcs Jakarta, 2pcs Surabaya",,
3003132,Oil Separator,2901-0213-00 = DC 3132,-,-,4,Jakarta,,
3003137,Oil Separator,1613-8397-00 = DC 3137,-,-,25,"22pcs Jakarta, 3pcs Surabaya",,
3003185,Oil Separator,1614-9054-00 = DC 3185 Lbg Baut 15,-,-,7,"4pcs Jakarta, 3pcs Surabaya",,
3003186,Oil Separator,1614-9056-00 = DC 3186,-,-,6,"4pcs Jakarta, 2pcs Surabaya",,
3003218,Oil Separator,1614-9521-00 = DC 3218,-,-,0,,,
3003219,Oil Separator,2901-0858-00 = DC 3219 = 1613-9840-01 = 1613-9559-00,-,-,17,"13pcs Jakarta, 3pcs Surabaya, 1pcs Solo",,
3003241,Oil Separator,DC 3241 = 622-1374-00,-,-,0,,,
3003256,Oil Separator,DC 3256 (Lbg baut 12),-,-,10,"8pcs Jakarta, 2pcs Surabaya",,
3003264,Oil Separator,DC 3264,-,-,1,Jakarta,,
3003265,Oil Separator,1614-9054-00 = DC 3265) Lbg baut 12,-,-,4,"2pcs Jakarta, 2pcs Surabaya",,
3003266,Oil Separator,DC 3266 = 1622-3656-00 = 2901-0566-22,-,-,8,"6pcs Jakarta, 1pcs Surabaya, 1pcs Solo",,
3003270,Oil Separator,2906-0753-00 = 1621-9386-00 = DC 3270 =  1614-7899-00,-,-,0,,,
3003280,Oil Separator,DC 3280 = 1623-0514-00,-,-,1,Jakarta,,
3003285,Oil Separator,DC 3285 = 1623-0515-00,-,-,3,Jakarta,,
3003286,Oil Separator,DC 3286 = 1623-0516-00,-,-,7,"5pcs Jakarta, 2pcs  Surabaya",,
3003292,Oil Separator,DC 3292 = 1625-7036-00,-,-,21,"19pcs Jakarta, 2pcs Surabaya",,
3003296,Oil Separator,2252-6313-00 = DC 3296 Long Life,-,-,4,"2pcs Jakarta, 2pcs Surabaya",,
